date,ticker,y_true,y_pred
2021-10-15,BBVA,5.769000,5.735042
2021-10-18,BBVA,5.823000,5.743683
2021-10-19,BBVA,5.776000,5.765974
2021-10-20,BBVA,5.830000,5.792207
2021-10-21,BBVA,5.661000,5.768944
2021-10-22,BBVA,5.686000,5.764667
2021-10-25,BBVA,5.701000,5.775944
2021-10-26,BBVA,5.683000,5.783441
2021-10-27,BBVA,5.615000,5.760929
2021-10-28,BBVA,5.641000,5.751574
2021-10-29,BBVA,6.062000,5.867829
2021-11-01,BBVA,6.279000,6.022806
2021-11-02,BBVA,6.162000,6.084270
2021-11-03,BBVA,6.183000,6.106680
2021-11-04,BBVA,6.040000,6.055904
2021-11-05,BBVA,6.026000,6.011561
2021-11-08,BBVA,6.021000,5.986731
2021-11-09,BBVA,5.973000,5.964715
2021-11-10,BBVA,6.032000,5.977900
2021-11-11,BBVA,6.080000,6.016123
2021-11-12,BBVA,6.127000,6.079107
2021-11-15,BBVA,5.865000,6.014546
2021-11-16,BBVA,5.799000,5.943350
2021-11-17,BBVA,5.752000,5.894249
2021-11-18,BBVA,5.435000,5.776296
2021-11-19,BBVA,5.403000,5.679724
2021-11-22,BBVA,5.424000,5.630390
2021-11-23,BBVA,5.293000,5.568276
2021-11-24,BBVA,5.190000,5.503939
2021-11-25,BBVA,5.230000,5.477830
2021-11-26,BBVA,4.846000,5.369390
2021-11-29,BBVA,4.802500,5.269212
2021-11-30,BBVA,4.702500,5.168376
2021-12-01,BBVA,4.817500,5.135598
2021-12-02,BBVA,4.772000,5.104360
2021-12-03,BBVA,4.789500,5.092784
2021-12-06,BBVA,5.001000,5.144916
2021-12-07,BBVA,5.133000,5.221013
2021-12-08,BBVA,5.203000,5.284042
2021-12-09,BBVA,5.155000,5.308492
2021-12-10,BBVA,5.110000,5.286346
2021-12-13,BBVA,5.110000,5.259346
2021-12-14,BBVA,5.120000,5.241772
2021-12-15,BBVA,5.094000,5.226459
2021-12-16,BBVA,5.138000,5.235492
2021-12-17,BBVA,4.997500,5.188236
2021-12-20,BBVA,4.946000,5.139789
2021-12-21,BBVA,5.062000,5.158953
2021-12-22,BBVA,5.097000,5.197470
2021-12-23,BBVA,5.170000,5.247816
2021-12-27,BBVA,5.230000,5.296047
2021-12-28,BBVA,5.248000,5.329046
2021-12-29,BBVA,5.266000,5.349154
2021-12-30,BBVA,5.250000,5.348087
2022-01-03,BBVA,5.260000,5.346156
2022-01-04,BBVA,5.393000,5.384295
2022-01-05,BBVA,5.380000,5.410827
2022-01-06,BBVA,5.458000,5.441474
2022-01-07,BBVA,5.587000,5.498863
2022-01-10,BBVA,5.577000,5.539480
2022-01-11,BBVA,5.595000,5.565471
2022-01-12,BBVA,5.698000,5.605983
2022-01-13,BBVA,5.759000,5.645611
2022-01-14,BBVA,5.766000,5.669044
2022-01-17,BBVA,5.781000,5.687369
2022-01-18,BBVA,5.781000,5.699997
2022-01-19,BBVA,5.692000,5.653178
2022-01-20,BBVA,5.703000,5.633017
2022-01-21,BBVA,5.626000,5.592346
2022-01-24,BBVA,5.431000,5.490138
2022-01-25,BBVA,5.496000,5.461599
2022-01-26,BBVA,5.622000,5.518307
2022-01-27,BBVA,5.683000,5.600656
2022-01-28,BBVA,5.644000,5.645368
2022-01-31,BBVA,5.634000,5.670934
2022-02-01,BBVA,5.752000,5.725032
2022-02-02,BBVA,5.815000,5.780719
2022-02-03,BBVA,5.695000,5.742303
2022-02-04,BBVA,5.686000,5.709644
2022-02-07,BBVA,5.750000,5.713966
2022-02-08,BBVA,5.885000,5.777899
2022-02-09,BBVA,6.015000,5.867980
2022-02-10,BBVA,6.056000,5.933957
2022-02-11,BBVA,5.967000,5.934052
2022-02-14,BBVA,5.731000,5.821064
2022-02-15,BBVA,5.874000,5.791155
2022-02-16,BBVA,5.816000,5.784643
2022-02-17,BBVA,5.748000,5.766255
2022-02-18,BBVA,5.712000,5.752552
2022-02-21,BBVA,5.621000,5.726656
2022-02-22,BBVA,5.643000,5.710842
2022-02-23,BBVA,5.654000,5.727134
2022-02-24,BBVA,5.299000,5.615182
2022-02-25,BBVA,5.435000,5.570726
2022-02-28,BBVA,5.290000,5.509548
2022-03-01,BBVA,5.084000,5.426270
2022-03-02,BBVA,5.188000,5.388535
2022-03-03,BBVA,5.090000,5.356693
2022-03-04,BBVA,4.799500,5.266899
2022-03-07,BBVA,4.485500,5.113515
2022-03-08,BBVA,4.596500,5.015785
2022-03-09,BBVA,4.995000,5.053828
2022-03-10,BBVA,4.991500,5.101984
2022-03-11,BBVA,4.993000,5.136766
2022-03-14,BBVA,5.105000,5.180114
2022-03-15,BBVA,5.134000,5.211277
2022-03-16,BBVA,5.372000,5.289743
